Tên sách,Tác giả,Đánh giá
The Help,Kathryn Stockett,"4.47 avg rating — 2,823,539 ratings"
The Kite Runner,Khaled Hosseini,"4.35 avg rating — 3,213,364 ratings"
Water for Elephants,Sara Gruen,"4.11 avg rating — 1,636,472 ratings"
The Book Thief,Markus Zusak,"4.39 avg rating — 2,628,779 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,291,563 ratings"
The Time Traveler’s Wife,Audrey Niffenegger,"really liked it4.00 avg rating — 1,803,596 ratings"
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"4.34 avg rating — 8,902,381 ratings"
A Thousand Splendid Suns,Khaled Hosseini,"4.44 avg rating — 1,571,306 ratings"
The Glass Castle,Jeannette Walls,"4.32 avg rating — 1,246,389 ratings"
The Secret Life of Bees,Sue Monk Kidd,"4.09 avg rating — 1,306,626 ratings"
Memoirs of a Geisha,Arthur Golden,"4.15 avg rating — 2,025,174 ratings"
My Sister’s Keeper,Jodi Picoult,"4.10 avg rating — 1,233,370 ratings"
The Lovely Bones,Alice Sebold,"3.86 avg rating — 2,381,937 ratings"
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"4.19 avg rating — 765,476 ratings"
Pride and Prejudice,Jane Austen,"4.29 avg rating — 4,353,291 ratings"
The Red Tent,Anita Diamant,"4.20 avg rating — 606,374 ratings"
Life of Pi,Yann Martel,"3.94 avg rating — 1,651,645 ratings"
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"4.14 avg rating — 2,108,409 ratings"
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"3.89 avg rating — 1,503,287 ratings"
The Poisonwood Bible,Barbara Kingsolver,"4.10 avg rating — 754,390 ratings"
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"4.17 avg rating — 3,237,136 ratings"
1984,George Orwell,"4.19 avg rating — 4,755,691 ratings"
Sarah's Key,Tatiana de Rosnay,"4.18 avg rating — 479,771 ratings"
The Diary of a Young Girl,Anne Frank,"4.19 avg rating — 3,823,231 ratings"
Room,Emma Donoghue,"4.08 avg rating — 811,588 ratings"
"Eat, Pray, Love",Elizabeth Gilbert,"3.63 avg rating — 1,766,532 ratings"
Snow Flower and the Secret Fan,Lisa See,"4.09 avg rating — 375,871 ratings"
Jane Eyre,Charlotte Brontë,"4.15 avg rating — 2,130,927 ratings"
Middlesex,Jeffrey Eugenides,"4.03 avg rating — 644,720 ratings"
The Great Gatsby,F. Scott Fitzgerald,"3.93 avg rating — 5,361,503 ratings"
The Catcher in the Rye,J.D. Salinger,"3.80 avg rating — 3,598,569 ratings"
The Thirteenth Tale,Diane Setterfield,"3.98 avg rating — 316,424 ratings"
A Tree Grows in Brooklyn,Betty  Smith,"4.30 avg rating — 475,299 ratings"
The Memory Keeper's Daughter,Kim Edwards,"3.70 avg rating — 603,340 ratings"
Little Women,Louisa May Alcott,"4.16 avg rating — 2,276,813 ratings"
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"4.34 avg rating — 776,421 ratings"
The Joy Luck Club,Amy Tan,"3.97 avg rating — 689,525 ratings"
Tuesdays with Morrie,Mitch Albom,"4.18 avg rating — 1,058,500 ratings"
Fahrenheit 451,Ray Bradbury,"3.96 avg rating — 2,490,274 ratings"
"The Giver (The Giver, #1)",Lois Lowry,"4.12 avg rating — 2,549,264 ratings"
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"4.30 avg rating — 652,370 ratings"
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,"4.08 avg rating — 501,584 ratings"
Atonement,Ian McEwan,"3.94 avg rating — 528,551 ratings"
The Road,Cormac McCarthy,"3.99 avg rating — 930,752 ratings"
Rebecca,Daphne du Maurier,"4.24 avg rating — 645,744 ratings"
Cutting for Stone,Abraham   Verghese,"4.32 avg rating — 396,756 ratings"
The Color Purple,Alice Walker,"4.27 avg rating — 702,154 ratings"
Bel Canto,Ann Patchett,"3.93 avg rating — 290,780 ratings"
The Alchemist,Paulo Coelho,"3.91 avg rating — 3,155,994 ratings"
The Grapes of Wrath,John Steinbeck,"4.01 avg rating — 923,713 ratings"
The V Girl: A Coming of Age Story,Mya Robarts,"3.98 avg rating — 16,068 ratings"
I Know This Much Is True,Wally Lamb,"4.20 avg rating — 314,853 ratings"
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,"3.66 avg rating — 358,163 ratings"
Of Mice and Men,John Steinbeck,"3.89 avg rating — 2,602,107 ratings"
The Immortal Life of Henrietta Lacks,Rebecca Skloot,"4.12 avg rating — 749,689 ratings"
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,"3.86 avg rating — 560,131 ratings"
Gone with the Wind,Margaret Mitchell,"4.31 avg rating — 1,217,782 ratings"
Animal Farm,George Orwell,"3.99 avg rating — 4,002,000 ratings"
The Shack: Where Tragedy Confronts Eternity,William Paul Young,"3.83 avg rating — 658,417 ratings"
Never Let Me Go,Kazuo Ishiguro,"3.85 avg rating — 724,571 ratings"
Slaughterhouse-Five,Kurt Vonnegut Jr.,"4.10 avg rating — 1,390,259 ratings"
Girl with a Pearl Earring,Tracy Chevalier,"3.93 avg rating — 745,452 ratings"
White Oleander,Janet Fitch,"3.99 avg rating — 356,808 ratings"
Hotel on the Corner of Bitter and Sweet,Jamie Ford,"4.04 avg rating — 304,415 ratings"
The Art of Racing in the Rain,Garth Stein,"4.23 avg rating — 528,118 ratings"
Lord of the Flies,William Golding,"3.69 avg rating — 2,962,679 ratings"
"A Dog's Purpose (A Dog's Purpose, #1)",W. Bruce Cameron,"4.35 avg rating — 134,536 ratings"
A Story of Yesterday,Sergio Cobo,"4.57 avg rating — 13,298 ratings"
A Prayer for Owen Meany,John Irving,"4.24 avg rating — 324,475 ratings"
Still Alice,Lisa Genova,"4.32 avg rating — 345,802 ratings"
East of Eden,John Steinbeck,"4.42 avg rating — 554,233 ratings"
Extremely Loud & Incredibly Close,Jonathan Safran Foer,"3.97 avg rating — 424,618 ratings"
Lolita,Vladimir Nabokov,"3.88 avg rating — 869,015 ratings"
Pericles and Aspasia: A Story of Ancient Greece,Yvonne Korshak,"4.29 avg rating — 15,989 ratings"
"The Good Earth (House of Earth, #1)",Pearl S. Buck,"really liked it4.00 avg rating — 252,206 ratings"
The Namesake,Jhumpa Lahiri,"4.02 avg rating — 273,265 ratings"
Beloved,Toni Morrison,"3.96 avg rating — 446,980 ratings"
"Outlander (Outlander, #1)",Diana Gabaldon,"4.26 avg rating — 1,078,667 ratings"
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,"3.26 avg rating — 926,694 ratings"
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"3.54 avg rating — 602,084 ratings"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"4.62 avg rating — 3,793,175 ratings"
"The Host (The Host, #1)",Stephenie Meyer,"3.86 avg rating — 1,016,849 ratings"
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,"4.38 avg rating — 955,442 ratings"
Little Bee,Chris Cleave,"3.72 avg rating — 244,080 ratings"
Taming Flame,Therisa Peimer,"4.30 avg rating — 16,036 ratings"
The Boy in the Striped Pajamas,John Boyne,"4.16 avg rating — 857,608 ratings"
"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,"3.81 avg rating — 267,822 ratings"
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,"4.15 avg rating — 635,953 ratings"
The Five People You Meet in Heaven,Mitch Albom,"3.99 avg rating — 734,994 ratings"
Midwives,Chris Bohjalian,"3.99 avg rating — 160,653 ratings"
Love in the Time of Cholera,Gabriel García Márquez,"3.94 avg rating — 513,906 ratings"
"The Da Vinci Code (Robert Langdon, #2)",Dan       Brown,"3.92 avg rating — 2,386,329 ratings"
Loving Frank,Nancy Horan,"3.77 avg rating — 99,562 ratings"
One Flew Over the Cuckoo’s Nest,Ken Kesey,"4.20 avg rating — 742,467 ratings"
We Need to Talk About Kevin,Lionel Shriver,"4.08 avg rating — 198,754 ratings"
Atlas Shrugged,Ayn Rand,"3.69 avg rating — 393,719 ratings"
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,"4.47 avg rating — 1,297 ratings"
Year of Wonders,Geraldine Brooks,"4.01 avg rating — 165,393 ratings"
Peace Like a River,Leif Enger,"4.01 avg rating — 92,728 ratings"
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"4.01 avg rating — 860,912 ratings"
